Datum;Tid (UTC);Lufttemperatur
2020-08-28;11:00:00;18.2
2020-08-28;12:00:00;18.3
2020-08-28;13:00:00;18.7
2020-08-28;14:00:00;17.5
2020-08-28;15:00:00;17.8
2020-08-28;16:00:00;17.0
2020-08-28;17:00:00;15.7
2020-08-28;18:00:00;14.5
2020-08-28;19:00:00;13.9
2020-08-28;20:00:00;13.9
2020-08-28;21:00:00;13.5
2020-08-28;22:00:00;14.1
2020-08-28;23:00:00;14.2
2020-08-29;00:00:00;14.2
2020-08-29;01:00:00;14.1
2020-08-29;02:00:00;14.0
2020-08-29;03:00:00;14.1
2020-08-29;04:00:00;14.6
2020-08-29;05:00:00;15.8
2020-08-29;06:00:00;15.9
2020-08-29;07:00:00;16.2
2020-08-29;08:00:00;16.7
2020-08-29;09:00:00;14.6
2020-08-29;10:00:00;14.6
2020-08-29;11:00:00;14.2
